1;2020-09-01;Gehalt 09/2020;2717.32
2;2020-09-02;Miete 09/2020;-850
3;2020-09-02;Strom 09/2020;-66
4;2020-09-02;Heizung 09/2020;-40
5;2020-09-02;Wasser 09/2020;-50
6;2020-09-04;Tanken;-72.3
7;2020-09-04;Einkaufen;-54.13
8;2020-09-14;Tanken;-33.67
9;2020-09-15;Einkaufen;-88.77
10;2020-09-22;Tanken;-48.88
11;2020-09-22;Einkaufen;-25.17
12;2020-09-28;Tanken;-23.45
13;2020-09-29;Einkaufen;-108.54
14;2020-09-30;Essen gehen;-55
15;2020-10-01;Gehalt 10/2020;2717.32
16;2020-10-02;Miete 10/2020;-850
17;2020-10-02;Strom 10/2020;-66
18;2020-10-02;Heizung 10/2020;-40
19;2020-10-02;Wasser 10/2020;-50
20;2020-10-03;Versicherung Auto Q4/2020;-555.22
21;2020-10-04;Tanken;-70.13
22;2020-10-04;Einkaufen;-52.5
23;2020-10-14;Tanken;-32.65
24;2020-10-15;Einkaufen;-86.1
25;2020-10-22;Tanken;-47.41
26;2020-10-22;Einkaufen;-24.41
27;2020-10-28;Tanken;-22.74
28;2020-10-28;Einkaufen;-105.28
29;2020-10-28;Essen gehen;-48
30;2020-11-01;Gehalt 11/2020;2717.32
31;2020-11-02;Miete 11/2020;-850
32;2020-11-02;Strom 11/2020;-66
33;2020-11-02;Heizung 11/2020;-40
34;2020-11-02;Wasser 11/2020;-50
35;2020-11-04;Tanken;-80.64
36;2020-11-04;Einkaufen;-60.37
37;2020-11-14;Tanken;-37.54
38;2020-11-15;Einkaufen;-99.01
39;2020-11-22;Tanken;-54.52
40;2020-11-22;Einkaufen;-28.07
41;2020-11-28;Tanken;-26.15
42;2020-11-28;Einkaufen;-121.07
43;2020-11-28;Essen gehen;-55.2
